Belgium_index,z_index_index,ATC_match,best_z_index_index
89,23136,True,
89,60604,True,
90,466,True,34789
90,659,True,34789
90,928,True,34789
90,1189,True,34789
90,3166,True,34789
90,5059,True,34789
90,6602,True,34789
90,19939,True,34789
90,22114,True,34789
90,23136,True,34789
90,60604,True,34789
91,1,True,2895
91,6341,True,2895
91,51661,True,2895
92,1,True,2895
92,6341,True,2895
92,51661,True,2895
