Name medicinal product,Strength,Pharmaceutical form,Pack Size,Pack ID,Start Date,Presumed End Date,End Date,Reason,Impact,MAH,Authorization number,SP Duration,HUMAN VETERINARY,ATC Code,cleaned_atc,PRK
Aacidexam,5 mg/ml,Solution for injection,10 x 1 ml,080026-03,2024-11-27,2025-01-10,,Delay in production,Import possible by the pharmacist,Aspen Pharma Trading Ltd. - IE - Active,BE080026,,HUMAN,H02AB02 - Dexamethasone,H02AB02,
Aacifemine,0.5 mg,Pessary,15,123882-01,2020-01-20,2020-04-15,2020-03-03,Delay in production,Non-vital unavailable drug,Aspen Pharma Trading Ltd. - IE - Active,BE123882,43.0,HUMAN,G03CA04 - Estriol,G03CA04,18260
Aacifemine,1 mg/g,Vaginal cream,15 g + 1 x Applicator,123873-01,2017-05-15,2017-08-02,2017-07-27,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE123873,73.0,HUMAN,G03CA04 - Estriol,G03CA04,17485
Aacifemine,1 mg/g,Vaginal cream,15 g + 1 x Applicator,123873-01,2015-10-12,2015-12-21,2015-12-11,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE123873,60.0,HUMAN,G03CA04 - Estriol,G03CA04,17485
Aacifemine,1 mg/g,Vaginal cream,15 g + 1 x Applicator,123873-01,2015-05-10,2015-06-29,2015-08-31,Delay in the release of the end product,,Aspen Pharma Trading Ltd. - IE - Active,BE123873,113.0,HUMAN,G03CA04 - Estriol,G03CA04,17485
Abacavir/Lamivudin Sandoz,600 mg - 300 mg,Film-coated tablet,30,500622-01,2019-03-01,2020-01-15,2020-01-20,Delay in the release of the end product,1 or 2 alternatives available,Sandoz SA-NV - BE - Active,BE500622,325.0,HUMAN,J05AR02 - Lamivudine and Abacavir,J05AR02,136050
Abacavir/Lamivudine Mylan,600 mg - 300 mg,Film-coated tablet,30,501644-01,2020-05-04,2020-07-18,2020-07-13,Delay in production,1 or 2 alternatives available,Viatris GX BV-SRL - BE - Active,BE501644,70.0,HUMAN,J05AR02 - Lamivudine and Abacavir,J05AR02,136050
Abacavir/Lamivudine Mylan,600 mg - 300 mg,Film-coated tablet,30,501644-01,2020-10-19,2021-02-26,2021-02-23,Delay in production,1 or 2 alternatives available,Viatris GX BV-SRL - BE - Active,BE501644,127.0,HUMAN,J05AR02 - Lamivudine and Abacavir,J05AR02,136050
Abacavir/Lamivudine Viatris,600 mg - 300 mg,Film-coated tablet,30 (30 x 1),521715-02,2022-02-02,2022-08-01,2022-08-01,Other reason,One or two alternative packsizes available,Viatris GX BV-SRL - BE - Active,BE521715,180.0,HUMAN,J05AR02 - Lamivudine and Abacavir,J05AR02,136050
Abelcet Lipid Complex,5 mg/ml,Concentrate for dispersion for infusion,10 x 20 ml,199263-02,2019-08-14,2019-09-06,2019-09-05,Delay in the release of the end product,,Teva Pharma Belgium SA-NV - BE - Active,BE199263,22.0,HUMAN,J02AA01 - Amphotericin B,J02AA01,61611
Abelcet Lipid Complex,5 mg/ml,Concentrate for dispersion for infusion,10 x 20 ml,199263-02,2022-03-08,2025-07-24,,Delay in production,Adaptation of the treatment possible,Teva Pharma Belgium SA-NV - BE - Active,BE199263,,HUMAN,J02AA01 - Amphotericin B,J02AA01,61611
Abevmy,25 mg/ml,Concentrate for solution for infusion,4 ml,589564-01,2023-04-03,2023-04-28,2023-04-21,Other reason,Short-term unavailability,Biosimilar Collaborations Ireland  Ltd. - IE - Active,EU/1/20/1515/001,18.0,HUMAN,L01FG01 - Bevacizumab,L01FG01,76910
Abilify,7.5 mg/ml,Solution for injection,1.3 ml,288163-01,2015-05-29,2016-07-01,2016-07-01,Production problems,,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/04/276/036,399.0,HUMAN,N05AX12 - Aripiprazole,N05AX12,86118
Abilify,7.5 mg/ml,Solution for injection,1.3 ml,288163-01,2023-07-25,2023-11-03,2023-10-31,Active Substance not available,Adaptation of the treatment possible,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/04/276/036,98.0,HUMAN,N05AX12 - Aripiprazole,N05AX12,86118
Abilify,30 mg,Tablet,28 (28 x 1),263523-02,2024-10-11,2025-02-28,,Other reason,At least three alternative packsizes available,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/04/276/017,,HUMAN,N05AX12 - Aripiprazole,N05AX12,75264
Abilify Maintena,400 mg,Powder and solvent for prolonged-release suspension for injection,400 mg + 2 ml + 2 x Injection syringe + 1 x Vial adaptor + 3 x Injection needle,448746-01,2023-11-08,2023-11-13,2023-11-14,"Logistic problems (transport, customs, ...)",Short-term unavailability,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/13/882/002,6.0,HUMAN,N05AX12 - Aripiprazole,N05AX12,112852
Abilify Maintena,400 mg,Powder and solvent for prolonged-release suspension for injection,400 mg + 2 ml + 2 x Injection syringe + 1 x Vial adaptor + 3 x Injection needle,448746-01,2024-04-19,2024-04-23,2024-04-23,"Logistic problems (transport, customs, ...)",Short-term unavailability,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/13/882/002,4.0,HUMAN,N05AX12 - Aripiprazole,N05AX12,112852
Abilify Maintena,400 mg,Powder and solvent for prolonged-release suspension for injection,400 mg + 2 ml + 2 x Injection syringe + 1 x Vial adaptor + 3 x Injection needle,448746-01,2022-12-14,2023-01-09,2023-01-09,Delay in the release of the end product,Short-term unavailability,Otsuka Pharmaceutical Netherlands B.V. - NL - Active,EU/1/13/882/002,26.0,HUMAN,N05AX12 - Aripiprazole,N05AX12,112852
Abiraterone Mylan,1000 mg,Film-coated tablet,30 (30 x 1),596560-01,2022-12-06,2023-01-04,2022-12-23,Increased demand,Short-term unavailability,Mylan Pharmaceuticals Ltd. - IE - Active,EU/1/21/1571/016,17.0,HUMAN,L02BX03 - Abiraterone,L02BX03,216526
Abiraterone Mylan,500 mg,Film-coated tablet,60 (60 x 1),589760-01,2023-08-22,2023-10-03,2023-09-27,Other reason,At least three alternative packsizes available,Mylan Pharmaceuticals Ltd. - IE - Active,EU/1/21/1571/008,36.0,HUMAN,L02BX03 - Abiraterone,L02BX03,136913
Abiraterone Mylan,500 mg,Film-coated tablet,60 (60 x 1),589760-01,2023-06-20,2023-07-19,2023-07-11,Delay in the release of the end product,Short-term unavailability,Mylan Pharmaceuticals Ltd. - IE - Active,EU/1/21/1571/008,21.0,HUMAN,L02BX03 - Abiraterone,L02BX03,136913
Abiraterone Mylan,500 mg,Film-coated tablet,60 (60 x 1),589760-01,2023-01-11,2023-02-08,2023-01-26,Increased demand,Short-term unavailability,Mylan Pharmaceuticals Ltd. - IE - Active,EU/1/21/1571/008,15.0,HUMAN,L02BX03 - Abiraterone,L02BX03,136913
