Netherlands_index,z_index_index,ATC_match,best_z_index_index
67,54149,True,209368
67,54150,True,209368
67,54151,True,209368
67,54152,True,209368
67,60633,True,209368
68,1757,True,130524
68,1768,True,130524
68,29308,True,130524
68,50291,True,130524
69,34196,True,225371
69,66909,True,225371
70,29088,True,136913
70,32479,True,136913
70,52938,True,136913
71,2855,True,48798
71,3984,True,48798
71,19122,True,48798
72,641,True,125040
72,3468,True,125040
72,8447,True,125040
72,38146,True,125040
72,50772,True,125040
72,62310,True,125040
72,62312,True,125040
72,62313,True,125040
72,62354,True,125040
73,2149,True,51071
73,2151,True,51071
73,2153,True,51071
73,5994,True,51071
73,16545,True,51071
73,18872,True,51071
73,19153,True,51071
73,32037,True,51071
73,67054,True,51071
73,67058,True,51071
74,14469,True,86983
74,14470,True,86983
74,20747,True,86983
74,63436,True,86983
74,63467,True,86983
74,63468,True,86983
74,63469,True,86983
74,63470,True,86983
74,63471,True,86983
75,13980,True,
75,13990,True,
75,14000,True,
75,18633,True,
75,18643,True,
75,18653,True,
75,21022,True,
75,23137,True,
75,23147,True,
75,23157,True,
75,23167,True,
75,23177,True,
75,23187,True,
75,25282,True,
75,25292,True,
75,25302,True,
75,25312,True,
75,28428,True,
75,28841,True,
75,28851,True,
75,29319,True,
75,29329,True,
75,29339,True,
75,29349,True,
75,29359,True,
75,29369,True,
75,29379,True,
75,29413,True,
75,29444,True,
75,29454,True,
75,34926,True,
75,34937,True,
75,34947,True,
75,34957,True,
75,34967,True,
75,34977,True,
75,34987,True,
75,37853,True,
75,37863,True,
75,37873,True,
75,40939,True,
75,40949,True,
75,40959,True,
75,40972,True,
75,41753,True,
75,41754,True,
75,41755,True,
75,42262,True,
75,45194,True,
75,45214,True,
75,45224,True,
75,45234,True,
75,45244,True,
75,58661,True,
75,69308,True,
75,73419,True,
75,73429,True,
75,73439,True,
75,73449,True,
75,73459,True,
76,42682,True,
76,42687,True,
76,42692,True,
76,52135,True,
76,52140,True,
76,52145,True,
77,352,True,116122
77,361,True,116122
77,4601,True,116122
77,4845,True,116122
77,16251,True,116122
77,16252,True,116122
77,20695,True,116122
77,20702,True,116122
77,20987,True,116122
77,20988,True,116122
77,21137,True,116122
77,26215,True,116122
77,27935,True,116122
77,35389,True,116122
77,35390,True,116122
77,35391,True,116122
77,36610,True,116122
77,39152,True,116122
77,41474,True,116122
77,41488,True,116122
77,52018,True,116122
77,52020,True,116122
77,55903,True,116122
77,57696,True,116122
77,62865,True,116122
77,64687,True,116122
78,1534,True,47538
78,1535,True,47538
78,6030,True,47538
78,16274,True,47538
78,33401,True,47538
78,44180,True,47538
78,45525,True,47538
78,45885,True,47538
78,54444,True,47538
78,62314,True,47538
78,62315,True,47538
78,62317,True,47538
78,62318,True,47538
79,799,True,51381
79,800,True,51381
79,801,True,51381
79,910,True,51381
79,1227,True,51381
79,2758,True,51381
79,3757,True,51381
79,3758,True,51381
79,3759,True,51381
79,63000,True,51381
79,63001,True,51381
79,69197,True,51381
80,5053,True,77038
80,5055,True,77038
80,5057,True,77038
80,43587,True,77038
81,6345,True,67814
81,6347,True,67814
81,6348,True,67814
81,6572,True,67814
81,11097,True,67814
82,50747,True,123676
82,50750,True,123676
82,50871,True,123676
82,50874,True,123676
82,50877,True,123676
83,55026,True,137200
83,55027,True,137200
83,55028,True,137200
83,61423,True,137200
84,374,True,26204
84,478,True,26204
84,479,True,26204
84,480,True,26204
84,1035,True,26204
84,1036,True,26204
84,3806,True,26204
84,7621,True,26204
84,16300,True,26204
84,16301,True,26204
84,16302,True,26204
84,22422,True,26204
84,28023,True,26204
84,32916,True,26204
84,32918,True,26204
84,50754,True,26204
85,99,True,5665
85,74352,True,5665
86,11232,True,45020
87,15871,True,48763
87,15872,True,48763
87,31726,True,48763
87,49772,True,48763
87,49773,True,48763
88,519,True,103683
88,763,True,103683
88,764,True,103683
88,765,True,103683
88,766,True,103683
88,769,True,103683
88,1458,True,103683
88,1459,True,103683
88,1487,True,103683
88,1488,True,103683
88,1783,True,103683
88,2393,True,103683
88,2394,True,103683
88,2395,True,103683
88,2396,True,103683
88,2822,True,103683
88,4342,True,103683
88,4481,True,103683
88,4482,True,103683
88,7999,True,103683
88,8012,True,103683
88,8013,True,103683
88,8014,True,103683
88,16253,True,103683
88,16262,True,103683
88,16263,True,103683
88,16264,True,103683
88,20258,True,103683
88,20559,True,103683
88,20560,True,103683
88,21437,True,103683
88,23311,True,103683
88,23555,True,103683
88,23568,True,103683
88,24772,True,103683
88,24968,True,103683
88,24969,True,103683
88,25885,True,103683
88,25886,True,103683
88,27746,True,103683
88,27747,True,103683
88,27748,True,103683
88,28427,True,103683
88,32913,True,103683
88,34156,True,103683
88,34202,True,103683
88,34673,True,103683
88,35955,True,103683
88,36023,True,103683
88,36387,True,103683
88,38623,True,103683
88,40567,True,103683
88,42042,True,103683
88,45959,True,103683
88,46378,True,103683
88,48181,True,103683
88,48290,True,103683
88,50880,True,103683
88,53682,True,103683
88,57297,True,103683
88,59441,True,103683
88,59442,True,103683
88,60074,True,103683
88,62386,True,103683
88,62539,True,103683
88,62549,True,103683
88,62556,True,103683
88,65325,True,103683
88,67668,True,103683
88,69723,True,103683
89,8507,True,83917
89,8538,True,83917
89,8569,True,83917
89,8600,True,83917
89,23499,True,83917
89,27421,True,83917
89,27452,True,83917
90,6861,True,86479
90,9651,True,86479
90,12241,True,86479
91,40853,True,152021
91,40855,True,152021
92,2637,True,52817
92,2638,True,52817
92,2639,True,52817
92,7026,True,52817
92,7027,True,52817
92,52630,True,52817
93,44709,True,198382
93,44710,True,198382
93,44711,True,198382
93,44712,True,198382
93,58322,True,198382
93,58323,True,198382
94,2271,True,25429
94,2274,True,25429
94,9088,True,25429
94,17459,True,25429
94,22382,True,25429
94,29822,True,25429
94,36588,True,25429
94,47650,True,25429
94,47651,True,25429
94,47652,True,25429
94,47653,True,25429
94,47654,True,25429
94,49056,True,25429
94,65049,True,25429
94,69383,True,25429
95,882,True,38717
95,883,True,38717
95,3342,True,38717
95,5920,True,38717
95,42509,True,38717
96,1311,True,45209
96,1312,True,45209
96,3141,True,45209
96,3177,True,45209
