Romania_index,z_index_index,ATC_match,best_z_index_index
272,69161,True,23043
272,69181,True,23043
272,69182,True,23043
272,69184,True,23043
272,69190,True,23043
272,69400,True,23043
272,70876,True,23043
272,71851,True,23043
272,72534,True,23043
272,72535,True,23043
272,72536,True,23043
272,73588,True,23043
274,9032,True,214213
274,9040,True,214213
274,9048,True,214213
274,57374,True,214213
275,9032,True,214205
275,9040,True,214205
275,9048,True,214205
275,57374,True,214205
276,9032,True,214191
276,9040,True,214191
276,9048,True,214191
276,57374,True,214191
281,1891,True,6270
281,19152,True,6270
281,49795,True,6270
282,1891,True,
282,19152,True,
282,49795,True,
284,12145,True,90778
287,16501,True,
287,17142,True,
288,4353,True,47864
288,4354,True,47864
288,4355,True,47864
288,4356,True,47864
288,6894,True,47864
288,24468,True,47864
289,4353,True,41009
289,4354,True,41009
289,4355,True,41009
289,4356,True,41009
289,6894,True,41009
289,24468,True,41009
290,4353,True,74241
290,4354,True,74241
290,4355,True,74241
290,4356,True,74241
290,6894,True,74241
290,24468,True,74241
291,6654,True,60674
291,14459,True,60674
291,14461,True,60674
291,56117,True,60674
291,61137,True,60674
291,61138,True,60674
291,64589,True,60674
291,66340,True,60674
293,55026,True,137197
293,55027,True,137197
293,55028,True,137197
293,61423,True,137197
295,1085,True,
295,1401,True,
295,4178,True,
295,4179,True,
295,6202,True,
295,7955,True,
295,7956,True,
295,7957,True,
295,7958,True,
295,7959,True,
295,7960,True,
295,7961,True,
295,14744,True,
295,22615,True,
295,22616,True,
295,26309,True,
295,28279,True,
295,33379,True,
295,34572,True,
295,36330,True,
295,36331,True,
295,37291,True,
295,42741,True,
295,49708,True,
295,63282,True,
295,63283,True,
295,64452,True,
295,65458,True,
295,65540,True,
296,7323,True,8192
296,7324,True,8192
296,24262,True,8192
296,26022,True,8192
296,26353,True,8192
296,29134,True,8192
296,29135,True,8192
296,36383,True,8192
296,38619,True,8192
296,39331,True,8192
296,39332,True,8192
296,39333,True,8192
296,39334,True,8192
296,39697,True,8192
296,39699,True,8192
296,42325,True,8192
296,42326,True,8192
296,54036,True,8192
296,54037,True,8192
296,54039,True,8192
296,54591,True,8192
296,55320,True,8192
296,55321,True,8192
296,55322,True,8192
296,56972,True,8192
296,62388,True,8192
296,63009,True,8192
296,64746,True,8192
296,65038,True,8192
296,65509,True,8192
296,65556,True,8192
296,68330,True,8192
296,69160,True,8192
296,70419,True,8192
297,7323,True,8206
297,7324,True,8206
297,24262,True,8206
297,26022,True,8206
297,26353,True,8206
297,29134,True,8206
297,29135,True,8206
297,36383,True,8206
297,38619,True,8206
297,39331,True,8206
297,39332,True,8206
297,39333,True,8206
297,39334,True,8206
297,39697,True,8206
297,39699,True,8206
297,42325,True,8206
297,42326,True,8206
297,54036,True,8206
297,54037,True,8206
297,54039,True,8206
297,54591,True,8206
297,55320,True,8206
297,55321,True,8206
297,55322,True,8206
297,56972,True,8206
297,62388,True,8206
297,63009,True,8206
297,64746,True,8206
297,65038,True,8206
