Italy_index,z_index_index,ATC_match,best_z_index_index
137,54141,True,24082
138,12488,True,99279
138,12489,True,99279
138,12490,True,99279
138,12535,True,99279
138,27385,True,99279
138,52666,True,99279
138,54141,True,99279
139,12488,True,69663
139,12489,True,69663
139,12490,True,69663
139,12535,True,69663
139,27385,True,69663
139,52666,True,69663
139,54141,True,69663
140,12488,True,
140,12489,True,
140,12490,True,
140,12535,True,
140,27385,True,
140,52666,True,
140,54141,True,
141,12488,True,
141,12489,True,
141,12490,True,
141,12535,True,
141,27385,True,
141,52666,True,
141,54141,True,
142,12488,True,69671
142,12489,True,69671
142,12490,True,69671
142,12535,True,69671
142,27385,True,69671
142,52666,True,69671
142,54141,True,69671
143,12488,True,69671
143,12489,True,69671
143,12490,True,69671
143,12535,True,69671
143,27385,True,69671
143,52666,True,69671
143,54141,True,69671
144,3036,True,3778
144,3037,True,3778
144,4801,True,3778
144,9076,True,3778
144,22809,True,3778
144,23206,True,3778
144,56456,True,3778
144,65459,True,3778
144,65544,True,3778
144,65799,True,3778
144,65943,True,3778
144,65944,True,3778
145,5087,True,122416
145,5430,True,122416
145,29588,True,122416
146,6769,True,122432
146,12243,True,122432
147,6769,True,122424
147,12243,True,122424
148,6769,True,122424
148,12243,True,122424
149,6769,True,122432
149,12243,True,122432
150,6769,True,122424
150,12243,True,122424
151,6769,True,122432
151,12243,True,122432
152,6769,True,122432
152,12243,True,122432
153,5087,True,122416
153,5430,True,122416
153,29588,True,122416
154,5087,True,122416
154,5430,True,122416
154,29588,True,122416
155,5087,True,122408
155,5430,True,122408
155,29588,True,122408
156,251,True,18562
156,2633,True,18562
156,25863,True,18562
157,5854,True,54798
157,9967,True,54798
158,5854,True,54798
158,9967,True,54798
159,5854,True,54798
159,9967,True,54798
160,605,True,54801
160,703,True,54801
160,1313,True,54801
160,1883,True,54801
160,3116,True,54801
160,3874,True,54801
160,5915,True,54801
160,13567,True,54801
160,22818,True,54801
160,32783,True,54801
160,43219,True,54801
160,43559,True,54801
160,50650,True,54801
160,50651,True,54801
160,63216,True,54801
160,73956,True,54801
161,15871,True,48763
161,15872,True,48763
161,31726,True,48763
161,49772,True,48763
161,49773,True,48763
162,2854,True,89117
162,12576,True,89117
163,416,True,671
163,417,True,671
163,11243,True,671
163,15564,True,671
163,16255,True,671
163,16256,True,671
164,416,True,3913
164,417,True,3913
164,11243,True,3913
164,15564,True,3913
164,16255,True,3913
164,16256,True,3913
165,982,True,231967
165,983,True,231967
165,984,True,231967
165,3727,True,231967
165,3728,True,231967
165,3729,True,231967
165,4280,True,231967
165,26762,True,231967
165,63275,True,231967
165,63277,True,231967
165,73543,True,231967
166,3214,True,60194
167,3214,True,60194
168,96,True,151130
168,215,True,151130
168,216,True,151130
168,217,True,151130
168,241,True,151130
168,1022,True,151130
168,1612,True,151130
168,27726,True,151130
168,39804,True,151130
168,45428,True,151130
168,45951,True,151130
168,69682,True,151130
169,96,True,151130
169,215,True,151130
169,216,True,151130
169,217,True,151130
169,241,True,151130
169,1022,True,151130
169,1612,True,151130
169,27726,True,151130
169,39804,True,151130
169,45428,True,151130
169,45951,True,151130
169,69682,True,151130
170,1290,True,24643
170,4013,True,24643
170,32794,True,24643
171,1290,True,24643
171,4013,True,24643
171,32794,True,24643
172,854,True,30384
172,855,True,30384
172,3718,True,30384
172,4623,True,30384
172,4625,True,30384
172,15129,True,30384
172,15130,True,30384
173,854,True,
173,855,True,
173,3718,True,
173,4623,True,
173,4625,True,
173,15129,True,
173,15130,True,
174,8662,True,
174,8671,True,
174,8680,True,
174,8689,True,
174,21762,True,
174,28891,True,
174,28900,True,
174,28909,True,
174,28918,True,
174,28927,True,
174,30884,True,
174,30893,True,
174,30902,True,
174,30911,True,
174,30920,True,
174,31660,True,
174,31669,True,
174,31678,True,
174,31687,True,
174,33265,True,
174,36643,True,
174,36652,True,
174,36661,True,
175,8662,True,
175,8671,True,
175,8680,True,
175,8689,True,
175,21762,True,
175,28891,True,
175,28900,True,
