Spain_index,z_index_index,ATC_match,best_z_index_index
392,45234,True,112445
392,45244,True,112445
392,58661,True,112445
392,69308,True,112445
392,73419,True,112445
392,73429,True,112445
392,73439,True,112445
392,73449,True,112445
392,73459,True,112445
395,605,True,27278
395,703,True,27278
395,1313,True,27278
395,1883,True,27278
395,3116,True,27278
395,3874,True,27278
395,5915,True,27278
395,13567,True,27278
395,22818,True,27278
395,32783,True,27278
395,43219,True,27278
395,43559,True,27278
395,50650,True,27278
395,50651,True,27278
395,63216,True,27278
395,73956,True,27278
397,3427,True,201049
397,3428,True,201049
397,3429,True,201049
397,4787,True,201049
404,10416,True,87297
404,10417,True,87297
404,49787,True,87297
405,3911,True,
405,3912,True,
405,3913,True,
405,20047,True,
405,51732,True,
406,50355,True,204331
407,1835,True,40444
407,1872,True,40444
407,18070,True,40444
407,18071,True,40444
407,18072,True,40444
407,18073,True,40444
407,71517,True,40444
408,1835,True,40452
408,1872,True,40452
408,18070,True,40452
408,18071,True,40452
408,18072,True,40452
408,18073,True,40452
408,71517,True,40452
411,14106,True,39985
411,14107,True,39985
411,14108,True,39985
411,14486,True,39985
411,24731,True,39985
415,8356,True,218138
415,8503,True,218138
415,8504,True,218138
416,854,True,30376
416,855,True,30376
416,3718,True,30376
416,4623,True,30376
416,4625,True,30376
416,15129,True,30376
416,15130,True,30376
419,605,True,135119
419,703,True,135119
419,1313,True,135119
419,1883,True,135119
419,3116,True,135119
419,3874,True,135119
419,5915,True,135119
419,13567,True,135119
419,22818,True,135119
419,32783,True,135119
419,43219,True,135119
419,43559,True,135119
419,50650,True,135119
419,50651,True,135119
419,63216,True,135119
419,73956,True,135119
430,14106,True,39993
430,14107,True,39993
430,14108,True,39993
430,14486,True,39993
430,24731,True,39993
432,2631,True,25534
432,2826,True,25534
432,3531,True,25534
432,13283,True,25534
432,16248,True,25534
434,36986,True,146765
434,36995,True,146765
434,44433,True,146765
435,4704,True,
435,4705,True,
435,4706,True,
435,4707,True,
435,44699,True,
440,2981,True,58408
440,2982,True,58408
440,2983,True,58408
440,6551,True,58408
440,21891,True,58408
440,25041,True,58408
441,2981,True,58394
441,2982,True,58394
441,2983,True,58394
441,6551,True,58394
441,21891,True,58394
441,25041,True,58394
447,605,True,
447,703,True,
447,1313,True,
447,1883,True,
447,3116,True,
447,3874,True,
447,5915,True,
447,13567,True,
447,22818,True,
447,32783,True,
447,43219,True,
447,43559,True,
447,50650,True,
447,50651,True,
447,63216,True,
447,73956,True,
449,6654,True,60674
449,14459,True,60674
449,14461,True,60674
449,56117,True,60674
449,61137,True,60674
449,61138,True,60674
449,64589,True,60674
449,66340,True,60674
454,3107,True,59005
454,3108,True,59005
457,26012,True,52590
457,34210,True,52590
457,37485,True,52590
460,4517,True,31070
460,4519,True,31070
460,4520,True,31070
462,14469,True,86991
462,14470,True,86991
462,20747,True,86991
462,63436,True,86991
462,63467,True,86991
462,63468,True,86991
462,63469,True,86991
462,63470,True,86991
462,63471,True,86991
463,14469,True,86991
463,14470,True,86991
463,20747,True,86991
463,63436,True,86991
463,63467,True,86991
463,63468,True,86991
463,63469,True,86991
463,63470,True,86991
463,63471,True,86991
464,14469,True,86983
464,14470,True,86983
464,20747,True,86983
464,63436,True,86983
464,63467,True,86983
464,63468,True,86983
464,63469,True,86983
464,63470,True,86983
464,63471,True,86983
465,14469,True,86983
465,14470,True,86983
465,20747,True,86983
465,63436,True,86983
465,63467,True,86983
465,63468,True,86983
465,63469,True,86983
465,63470,True,86983
465,63471,True,86983
467,6081,True,31518
467,6082,True,31518
467,6573,True,31518
467,6574,True,31518
467,26533,True,31518
467,28506,True,31518
467,28508,True,31518
467,44234,True,31518
467,59306,True,31518
467,62623,True,31518
467,68404,True,31518
468,11731,True,196894
468,11732,True,196894
473,3184,True,60186
473,28046,True,60186
474,35338,True,
474,35339,True,
474,35340,True,
477,29088,True,100846
477,32479,True,100846
477,52938,True,100846
478,26012,True,52582
478,34210,True,52582
478,37485,True,52582
481,3427,True,201057
481,3428,True,201057
481,3429,True,201057
481,4787,True,201057
482,36986,True,146773
482,36995,True,146773
482,44433,True,146773
486,6081,True,31526
486,6082,True,31526
486,6573,True,31526
486,6574,True,31526
486,26533,True,31526
486,28506,True,31526
486,28508,True,31526
486,44234,True,31526
486,59306,True,31526
486,62623,True,31526
486,68404,True,31526
489,2631,True,96946
489,2826,True,96946
489,3531,True,96946
489,13283,True,96946
489,16248,True,96946
490,55207,True,210307
509,3533,True,63592
509,4552,True,63592
509,18138,True,63592
509,28005,True,63592
509,29806,True,63592
509,73669,True,63592
514,2981,True,58408
514,2982,True,58408
514,2983,True,58408
514,6551,True,58408
514,21891,True,58408
514,25041,True,58408
518,5985,True,
518,5986,True,
521,28737,True,
521,28738,True,
522,3464,True,
522,3465,True,
522,7326,True,
522,14554,True,
522,18788,True,
531,11232,True,45020
538,34913,True,
538,48254,True,
543,5985,True,
543,5986,True,
547,3776,True,124559
547,10424,True,124559
551,7401,True,81388
551,8999,True,81388
559,5985,True,
559,5986,True,
561,799,True,56197
561,800,True,56197
561,801,True,56197
561,910,True,56197
561,1227,True,56197
561,2758,True,56197
561,3757,True,56197
561,3758,True,56197
561,3759,True,56197
561,63000,True,56197
561,63001,True,56197
561,69197,True,56197
562,39290,True,
563,3776,True,124559
563,10424,True,124559
564,605,True,17469
564,703,True,17469
564,1313,True,17469
564,1883,True,17469
564,3116,True,17469
564,3874,True,17469
564,5915,True,17469
564,13567,True,17469
564,22818,True,17469
564,32783,True,17469
564,43219,True,17469
564,43559,True,17469
564,50650,True,17469
564,50651,True,17469
564,63216,True,17469
564,73956,True,17469
565,15131,True,97446
565,30199,True,97446
565,39676,True,97446
575,36986,True,146773
575,36995,True,146773
575,44433,True,146773
577,5917,True,
578,14698,True,
578,18129,True,
578,30749,True,
578,35015,True,
578,35034,True,
578,35053,True,
578,64254,True,
578,64255,True,
578,64256,True,
581,55207,True,210307
585,8356,True,218103
585,8503,True,218103
585,8504,True,218103
590,35338,True,
590,35339,True,
590,35340,True,
592,35338,True,
592,35339,True,
592,35340,True,
599,6411,True,75248
599,12945,True,75248
599,22000,True,75248
599,22001,True,75248
599,23243,True,75248
599,28670,True,75248
599,28671,True,75248
599,28839,True,75248
599,29129,True,75248
599,30478,True,75248
599,36879,True,75248
599,60608,True,75248
599,64839,True,75248
606,6049,True,
606,6052,True,
606,10029,True,
606,11483,True,
606,11813,True,
606,11816,True,
606,55191,True,
608,6861,True,74349
608,9651,True,74349
608,12241,True,74349
609,5891,True,146633
609,21792,True,146633
609,21793,True,146633
609,21794,True,146633
609,21795,True,146633
610,3911,True,
610,3912,True,
610,3913,True,
610,20047,True,
610,51732,True,
618,5917,True,
619,8307,True,74934
619,25362,True,74934
629,2981,True,80926
629,2982,True,80926
629,2983,True,80926
629,6551,True,80926
629,21891,True,80926
