Sweden_index,z_index_index,ATC_match,best_z_index_index
58,15864,True,98221
58,17568,True,98221
58,17570,True,98221
58,17572,True,98221
58,17573,True,98221
58,17574,True,98221
58,17575,True,98221
58,23077,True,98221
58,23078,True,98221
58,27414,True,98221
58,27415,True,98221
58,29552,True,98221
58,36724,True,98221
58,36725,True,98221
58,36726,True,98221
58,39511,True,98221
58,39512,True,98221
58,39513,True,98221
58,39744,True,98221
58,42631,True,98221
58,67230,True,98221
58,67231,True,98221
58,67232,True,98221
58,67233,True,98221
58,67234,True,98221
58,67235,True,98221
58,68985,True,98221
58,68986,True,98221
58,68987,True,98221
59,8330,True,98221
59,8331,True,98221
59,8332,True,98221
59,8333,True,98221
59,15862,True,98221
59,15863,True,98221
59,15864,True,98221
59,17568,True,98221
59,17570,True,98221
59,17572,True,98221
59,17573,True,98221
59,17574,True,98221
59,17575,True,98221
59,23077,True,98221
59,23078,True,98221
59,27414,True,98221
59,27415,True,98221
59,29552,True,98221
59,36724,True,98221
59,36725,True,98221
59,36726,True,98221
59,39511,True,98221
59,39512,True,98221
59,39513,True,98221
59,39744,True,98221
59,42631,True,98221
59,67230,True,98221
59,67231,True,98221
59,67232,True,98221
59,67233,True,98221
59,67234,True,98221
59,67235,True,98221
59,68985,True,98221
59,68986,True,98221
59,68987,True,98221
60,8330,True,98221
60,8331,True,98221
60,8332,True,98221
60,8333,True,98221
60,15862,True,98221
60,15863,True,98221
60,15864,True,98221
60,17568,True,98221
60,17570,True,98221
60,17572,True,98221
60,17573,True,98221
60,17574,True,98221
60,17575,True,98221
60,23077,True,98221
60,23078,True,98221
60,27414,True,98221
60,27415,True,98221
60,29552,True,98221
60,36724,True,98221
60,36725,True,98221
60,36726,True,98221
60,39511,True,98221
60,39512,True,98221
60,39513,True,98221
60,39744,True,98221
60,42631,True,98221
60,67230,True,98221
60,67231,True,98221
60,67232,True,98221
60,67233,True,98221
60,67234,True,98221
60,67235,True,98221
60,68985,True,98221
60,68986,True,98221
60,68987,True,98221
61,8330,True,98213
61,8331,True,98213
61,8332,True,98213
61,8333,True,98213
61,15862,True,98213
61,15863,True,98213
61,15864,True,98213
61,17568,True,98213
61,17570,True,98213
61,17572,True,98213
61,17573,True,98213
61,17574,True,98213
61,17575,True,98213
61,23077,True,98213
61,23078,True,98213
61,27414,True,98213
61,27415,True,98213
61,29552,True,98213
61,36724,True,98213
61,36725,True,98213
61,36726,True,98213
61,39511,True,98213
61,39512,True,98213
61,39513,True,98213
61,39744,True,98213
61,42631,True,98213
61,67230,True,98213
61,67231,True,98213
61,67232,True,98213
61,67233,True,98213
61,67234,True,98213
61,67235,True,98213
61,68985,True,98213
61,68986,True,98213
61,68987,True,98213
62,1740,True,223786
62,3188,True,223786
