Nome medicinale;Codice AIC;Principio attivo;Forma farmaceutica e dosaggio;Titolare AIC;Data inizio;Fine presunta;Equivalente;Motivazioni;Suggerimenti/Indicazioni AIFA;Nota AIFA;Classe di rimborsabilit�;Codice ATC
OTREON;027969031;CEFPODOXIME PROXETIL;"""BAMBINI 40 MG/5 ML GRANULATO PER SOSPENSIONE ORALE"" 1 FLACONE 100 ML";DAIICHI SANKYO ITALIA S.P.A.;10/07/2023;;S�;Cessata commercializzazione definitiva;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero;;A TOTALE CARICO DEL SSN.;J01DD13
OTREON;027969043;CEFPODOXIME PROXETIL;"""200 MG COMPRESSE RIVESTITE CON FILM"" 6 COMPRESSE";DAIICHI SANKYO ITALIA S.P.A.;30/09/2023;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD13
OVITRELLE;035188085;CORIOGONADOTROPINA ALFA;"""250 MCG-SOLUZ. INIETTABILE IN PENNA PREREIMPITA-USO SOTTOCUTANEO-CARTUCCIA IN PENNA PREREIMPITA (250 MCG/0.5 ML)-0.5 ML"" 1 PENNA PRERIEMPITA+1 AGO";MERCK EUROPE B.V.;02/02/2024;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;G03GA08
OXALIPLATINO ACCORD;041274010;OXALIPLATINO;""" 5 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 10 ML";ACCORD HEALTHCARE, S.L.U.;15/01/2025;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO ACCORD;041274022;OXALIPLATINO;""" 5 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 20 ML";ACCORD HEALTHCARE, S.L.U.;24/02/2025;;S�;Problemi produttivi: ridotta disponibilit�;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO ACCORD;041274034;OXALIPLATINO;""" 5 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 40 ML";ACCORD HEALTHCARE, S.L.U.;12/12/2024;;S�;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO KABI;039170030;OXALIPLATINO;"""5 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 40 ML";FRESENIUS KABI ITALIA S.R.L.;31/05/2022;31/01/2025;S�;Cessata commercializzazione temporanea;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO SUN;041761038;OXALIPLATINO;""" 5MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DA 100MG/20ML  IN VETRO";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;31/05/2024;;S�;Problemi produttivi: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO SUN;041761053;OXALIPLATINO;""" 5MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DA 200MG/40ML  IN VETRO";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;01/03/2020;;S�;"Ridotta disponibilit� per forniture discontinue:
 distribuzione contingentata";Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO TEVA;038107037;OXALIPLATINO;"""5 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DI VETRO DA 20 ML";TEVA ITALIA S.R.L.;28/02/2025;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXALIPLATINO TEVA;038107076;OXALIPLATINO;"""5MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 40 ML";TEVA ITALIA S.R.L.;01/04/2024;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01XA03
OXBRYTA;049971017;VOXELOTOR;500 mg - Compressa rivestita con film - Uso orale - Flacone (HDPE) - 90 compresse;PFIZER EUROPE MA EEIG;23/09/2024;;No;Sospensione commercializzazione;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;C NON NEGOZIATA;B06AX03
OXICODONE ACCORD;042060463;OXICODONE CLORIDRATO;"""40 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;22/03/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE ACCORD;042060323;OXICODONE CLORIDRATO;"""20 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;15/07/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE ACCORD;042060044;OXICODONE CLORIDRATO;"""5 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;15/07/2024;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE ACCORD;042060602;OXICODONE CLORIDRATO;"""80 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;26/02/2023;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE ACCORD;042060184;OXICODONE CLORIDRATO;"""10 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";ACCORD HEALTHCARE, S.L.U.;06/10/2022;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE SANDOZ;041263031;OSSICODONE CLORIDRATO;"""40 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";SANDOZ S.P.A.;23/07/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE SANDOZ;041263272;OSSICODONE CLORIDRATO;"""80 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";SANDOZ S.P.A.;23/07/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXICODONE SANDOZ;041263157;OSSICODONE CLORIDRATO;"""60 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER PVC/PE/PVDC/AL";SANDOZ S.P.A.;23/07/2021;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXYCONTIN;034435192;OXICODONE CLORIDRATO;28 COMPRESSE A RILASCIO PROLUNGATO 80 MG IN BLISTER;MUNDIPHARMA PHARMACEUTICALS S.R.L.;08/04/2025;21/04/2025;No;Ridotta disponibilit�: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA05
OXYPRONAL;049014020;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""10 MG/5 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";G.L. PHARMA GMBH;01/02/2025;05/04/2025;S�;Elevata richiesta/problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OXYPRONAL;049014018;NALOXONE CLORIDRATO + OSSICODONE CLORIDRATO;"""5 MG/2,5 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER AL/PVC/PE/PVDC";G.L. PHARMA GMBH;01/02/2025;05/04/2025;S�;Elevata richiesta/problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N02AA55
OZEMPIC;046128056;SEMAGLUTIDE;1 MG SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA 3 ML (1,34 MG/ML) - 1 PENNA PRERIEMPITA + 4 AGHI;NOVO NORDISK A/S;14/02/2023;31/12/2025;No;Elevata richiesta: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ06
OZEMPIC;046128031;SEMAGLUTIDE;0,5 MG SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA 1,5 ML (1,34 MG/ML) - 1 PENNA PRERIEMPITA + 4 AGHI;NOVO NORDISK A/S;14/02/2023;31/12/2025;No;Elevata richiesta/problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ06
OZEMPIC;046128029;SEMAGLUTIDE;0,25 MG SOLUZIONE INIETTABILE - USO SOTTOCUTANEO - CARTUCCIA (VETRO) IN PENNA PRERIEMPITA 1,5 ML (1,34 MG/ML) - 1 PENNA PRERIEMPITA + 4 AGHI;NOVO NORDISK A/S;03/06/2024;31/12/2025;No;Elevata richiesta/problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A10BJ06
PACLITAXEL ACCORD HEALTHCARE ITALIA;040573053;PACLITAXEL;"""6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO DA 600 MG/100ML";ACCORD HEALTHCARE, S.L.U.;30/05/2022;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;L01CD01
PACLITAXEL ACCORD HEALTHCARE ITALIA;040573038;PACLITAXEL;""" 6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO  IN VETRO DA 300MG/50ML";ACCORD HEALTHCARE, S.L.U.;20/01/2023;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01CD01
PACLITAXEL ACCORD HEALTHCARE ITALIA;040573040;PACLITAXEL;"""6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO IN VETRO  DA 150MG/25ML";ACCORD HEALTHCARE, S.L.U.;19/05/2023;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;L01CD01
PACLITAXEL SANDOZ;037807031;PACLITAXEL;"""6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE"" 1 FLACONCINO DA 150 MG";SANDOZ S.P.A.;13/09/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01CD01
PACLITAXEL TEVA;037112051;PACLITAXEL;""" 6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE ""  FLACONCINO 25 ML";TEVA ITALIA S.R.L.;02/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01CD01
PACLITAXEL TEVA;037112024;PACLITAXEL;""" 6 MG/ML CONCENTRATO PER SOLUZIONE PER INFUSIONE ""  FLACONCINO 16,7 ML";TEVA ITALIA S.R.L.;07/05/2025;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;L01CD01
PALIPERIDONE KRKA;045969084;PALIPERIDONE;"""9 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL DIVISIBILE PER DOSE UNITARIA";KRKA D.D. NOVO MESTO;19/07/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;N05AX13
PALIPERIDONE TEVA;046036087;PALIPERIDONE;"""9 MG COMPRESSE A RILASCIO PROLUNGATO"" 28 COMPRESSE IN BLISTER OPA/AL/PVC/AL DIVISIBILE PER DOSE UNITARIA";TEVA B.V.;29/10/2024;28/02/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;"Carenza relativa a entrambi i canali:
inizio carenza canale ospedaliero: 29/10/2024
inizio carenza canale retail: 21/11/2024";A TOTALE CARICO DEL SSN.;N05AX13
PALMEUX;049737051;PALIPERIDONE;�150 MG SOSPENSIONE INIETTABILE A RILASCIO PROLUNGATO IN SIRINGA PRERIEMPITA� 1 SIRINGA IN COC + DUE AGHI DI SICUREZZA;AMDIPHARM LTD;07/10/2024;28/02/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;N05AX13
PALMEUX;049737048;PALIPERIDONE;�100 MG SOSPENSIONE INIETTABILE A RILASCIO PROLUNGATO IN SIRINGA PRERIEMPITA� 1 SIRINGA IN COC + DUE AGHI DI SICUREZZA;AMDIPHARM LTD;28/06/2024;28/02/2025;S�;Problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;N05AX13
PALMEUX;049737036;PALIPERIDONE;�75 MG SOSPENSIONE INIETTABILE A RILASCIO PROLUNGATO IN SIRINGA PRERIEMPITA� 1 SIRINGA IN COC + DUE AGHI DI SICUREZZA;AMDIPHARM LTD;10/01/2025;31/03/2025;S�;Problemi produttivi: distribuzione contingentata;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;N05AX13
PALONOSETRON  ACCORD;044886012;PALONOSETRON (TD);250 MICROGRAMMI - SOLUZIONE INIETTABILE - USO ENDOVENOSO - FLACONCINO (VETRO) 5 ML - 1 FLACONICNO;ACCORD HEALTHCARE, S.L.U.;26/09/2023;;S�;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A CARICO DEL SSN AMBITO OSPED.;A04AA05
PALONOSETRON FRESENIUS KABI;044227027;PALONOSETRON (TD);"""250 MICROGRAMMI SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO DA 5 ML";FRESENIUS KABI ITALIA S.R.L.;10/12/2024;;No;Problemi produttivi;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;A04AA05
PANTOPRAZOLO  TEVA  GENERICS;041582014;PANTOPRAZOLO;"""40 MG POLVERE PER SOLUZIONE INIETTABILE"" 1 FLACONCINO IN VETRO";TEVA ITALIA S.R.L.;30/05/2017;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOPRAZOLO  TEVA  GENERICS;041582038;PANTOPRAZOLO;"""40 MG POLVERE PER SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO";TEVA ITALIA S.R.L.;30/09/2025;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOPRAZOLO AUROBINDO;043494246;PANTOPRAZOLO SODICO SESQUIDRATO;"""40 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN CONTENITORE HDPE";AUROBINDO PHARMA (ITALIA) S.R.L.;01/02/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO AUROBINDO;043494210;PANTOPRAZOLO SODICO SESQUIDRATO;"""20 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN CONTENITORE HDPE";AUROBINDO PHARMA (ITALIA) S.R.L.;28/02/2023;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO AUROBINDO PHARMA ITALIA;044812030;PANTOPRAZOLO SODICO SESQUIDRATO;"""40 MG POLVERE PER SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO";Eugia Pharma (Malta) Limited;22/07/2022;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOPRAZOLO PENSA;038869069;PANTOPRAZOLO SODICO SESQUIDRATO;"""40 MG COMPRESSE GASTRORESISTENTI "" 28 COMPRESSE IN BLISTER AL/AL";Towa Pharmaceutical S.p.A.;19/05/2025;30/09/2025;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO SANDOZ GMBH;037838012;PANTOPRAZOLO SODICO SESQUIDRATO;"""40 MG POLVERE PER SOLUZIONE INIETTABILE"" 1 FLACONCINO IN VETRO";SANDOZ GMBH;12/07/2022;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOPRAZOLO SUN;040184018;PANTOPRAZOLO;""" 40 MG POLVERE PER SOLUZIONE  INIETTABILE "" 1 FLACONCINO IN VETRO";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;01/09/2018;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOPRAZOLO SUN PHARMACEUTICAL INDUSTRIES LIMITED;039015134;PANTOPRAZOLO SODICO SESQUIDRATO;""" 40 MG COMPRESSE GASTRO-RESISTENTI "" 14 COMPRESSE IN BLISTER ALU/ALU";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;05/04/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO SUN PHARMACEUTICAL INDUSTRIES LIMITED;039015021;PANTOPRAZOLO SODICO SESQUIDRATO;""" 20 MG COMPRESSE GASTRO-RESISTENTI "" 14 COMPRESSE IN BLISTER ALU/ALU";SUN PHARMACEUTICAL INDUSTRIES (EUROPE) B.V.;31/07/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO TOWA PHARMACEUTICAL EUROPE;038834127;PANTOPRAZOLO;"""40 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN FLACONE HDPE";TOWA PHARMACEUTICAL EUROPE, S.L.;29/07/2014;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO TOWA PHARMACEUTICAL EUROPE;038834026;PANTOPRAZOLO;"""20 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN FLACONE HDPE";TOWA PHARMACEUTICAL EUROPE, S.L.;29/07/2014;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO TOWA PHARMACEUTICAL EUROPE;038834228;PANTOPRAZOLO;"""20 MG COMPRESSE GASTRORESISTENTI"" 14 COMPRESSE IN BLISTER AL/AL";TOWA PHARMACEUTICAL EUROPE, S.L.;31/12/2020;;S�;Cessata commercializzazione definitiva;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO ZENTIVA;038881025;PANTOPRAZOLO SODICO SESQUIDRATO;"""40 MG COMPRESSE GASTRORESISTENTI"" 28 COMPRESSE IN BLISTER AL/AL";ZENTIVA ITALIA S.R.L.;16/05/2022;;S�;Problemi produttivi: forniture discontinue;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;A02BC02
PANTOPRAZOLO ZENTIVA LAB;049993025;PANTOPRAZOLO;"""40 mg POLVERE PER SOLUZIONE INIETTABILE"" 10 FLACONCINI IN VETRO";ZENTIVA ITALIA S.R.L.;14/10/2024;;S�;Problemi produttivi;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A CARICO DEL SSN AMBITO OSPED.;A02BC02
PANTOXON;035952011;CEFTRIAXONE DISODICO;""" 500 MG/2 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONE POLVERE + 1 FIALA SOLVENTE 2 ML";AESCULAPIUS FARMACEUTICI SRL;12/04/2023;;S�;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
PANTOXON;035952023;CEFTRIAXONE DISODICO;"""1 G/3,5 ML POLVERE E SOLVENTE PER SOLUZIONE INIETTABILE PER USO INTRAMUSCOLARE "" 1 FLACONCINO POLVERE + 1 FIALA SOLVENTE 3,5 ML";AESCULAPIUS FARMACEUTICI SRL;01/05/2025;;S�;Problemi regolatori;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DEL SSN.;J01DD04
PARACETAMOLO B. BRAUN;040798035;PARACETAMOLO;"""10 MG/ML SOLUZIONE PER INFUSIONE"" 20 FIALE LDPE DA 10 ML";B. BRAUN MELSUNGEN AG;03/12/2024;31/05/2025;No;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;N02BE01
PARACETAMOLO B. BRAUN;040798023;PARACETAMOLO;"""10 MG/ML SOLUZIONE PER INFUSIONE"" 10 FLACONI IN LDPE DA 100 ML";B. BRAUN MELSUNGEN AG;15/05/2023;30/06/2025;S�;Elevata richiesta: forniture discontinue;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;N02BE01
PARACETAMOLO BAXTER;048395014;PARACETAMOLO;"""10 MG/ML SOLUZIONE PER INFUSIONE"" 25 FLACONCINI IN VETRO DA 50 ML";BAXTER HOLDING BV;13/01/2025;;S�;Elevata richiesta;Si rilascia autorizzazione all�importazione alle strutture sanitarie per analogo autorizzato all�estero, nel caso in cui le strutture interessate riscontrino discontinuit� nella fornitura, a livello delle reti distributive cui hanno accesso;;A TOTALE CARICO DELL'ASSISTITO;N02BE01
PARACETAMOLO BAXTER;048395026;PARACETAMOLO;"""10 MG/ML SOLUZIONE PER INFUSIONE"" 25 FLACONCINI IN VETRO DA 100 ML";BAXTER HOLDING BV;27/02/2023;;S�;Elevata richiesta;Rilasciata determinazione per l�importazione al titolare A.I.C.;Confezioni importate dal Titolare disponibili dal 14.01.2025;A TOTALE CARICO DELL'ASSISTITO;N02BE01
PARACETAMOLO FARMAKOPEA;033167053;PARACETAMOLO;""" 500 MG COMPRESSE "" 20 COMPRESSE IN BLISTER PVC/ALLUMINIO";FARMAKOPEA S.P.A.;01/01/2024;30/06/2025;No;Cessata commercializzazione temporanea;Per trattamento alternativo si consiglia di rivolgersi allo specialista o al M.M.G;;A TOTALE CARICO DELL'ASSISTITO;N02BE01
