nr,ZI-nummer,Artikelnaam,Verpakking status*,Preferent bij Zilveren Kruis,Preferent bij CZ,Preferent bij Menzis,Preferent bij VGZ,Preferent bij DSW,Preferent bij ONVZ,Laagste Prijs  Niet-beschikbaar,Opmerking van fabrikant,scrape_datum,bron_week
83,15773442,CANDESARTAN CILEXETIL VIATRIS TABLET 8MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
84,15759377,CAPTOPRIL MYLAN TABLET 25MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
85,14867214,CARBAMAZEPINE AUROBINDO TABLET 200MG,,False,False,False,False,False,False,,Niet preferent,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
86,16605756,CARBIDOPA/LEVODOPA FAIR-MED 110 TABLET 10/100MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
87,14296098,CARDURA XL TABLET MGA 4MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
88,15056619,CARTEABAK OOGDRUPPELS 20MG/ML FL 5ML,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
89,16787668,"CARVEDILOL AUROBINDO TABLET FILMOMHULD 3,125MG",,False,False,False,False,False,False,,Is GDS verp. Niet pref. 16787625 is pref. en beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
90,16787714,"CARVEDILOL AUROBINDO TABLET FILMOMHULD 12,5MG",,False,False,False,False,False,False,,Is GDS verp. Niet pref. 16787706 is pref. en beschikbaar,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
91,14916185,"CARVEDILOL TEVA TABLET 6,25MG",,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
92,17241901,CEFTRIAXON KALCEKS INJ/INFUSIEPOEDER FLACON 1000MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
93,17241928,CEFTRIAXON KALCEKS INJ/INFUSIEPOEDER FLACON 2000MG,,False,False,False,False,False,False,,,2026-02-05 09:09:07,Monitor leveringsproblemen - week 5 2026
